id,date,r,error
95,2024-05-22,10,0
96,2024-05-22,10,0
97,2024-05-22,10,0
98,2024-05-22,10,0
99,2024-05-22,20,0
100,2024-05-22,10,0
101,2024-05-22,10,0
102,2024-05-22,10,0
103,2024-05-22,10,0
104,2024-05-22,10,0
105,2024-05-22,10,0
106,2024-05-22,10,0
107,2024-05-22,10,0
108,2024-05-22,10,0
109,2024-05-22,10,0
110,2024-05-22,20,0
111,2024-05-22,-20,0
112,2024-05-22,8,0
113,2024-05-22,1,0
114,2024-05-22,1,0
115,2024-05-22,1,0
116,2024-05-22,5,0
117,2024-05-22,0,0
118,2024-05-22,5,0
119,2024-05-22,5,0
120,2024-05-22,5,0
121,2024-05-22,0,0
122,2024-05-22,1,0
123,2024-05-22,0.2,0
124,2024-05-22,6,0
125,2024-05-22,12,0
126,2024-05-22,0.2,0
127,2024-05-22,0.2,0
128,2024-05-22,0.2,0
129,2024-05-22,0.2,0
130,2024-05-22,0.2,0
131,2024-05-22,0.2,0
132,2024-05-22,0.2,0
133,2024-05-22,0.2,0
134,2024-05-22,0.2,0
135,2024-05-22,0.2,0
136,2024-05-22,1,0
137,2024-05-22,0.2,0
138,2024-05-22,12,0
139,2024-05-22,12,0
140,2024-05-22,0.2,0
141,2024-05-22,10,0
142,2024-05-22,0.2,0
143,2024-05-22,0.2,0
144,2024-05-22,10,0
145,2024-05-22,0.2,0
146,2024-05-22,0.2,0
147,2024-05-22,1,0
148,2024-05-22,10,0
149,2024-05-22,10,0
150,2024-05-22,1,0
151,2024-05-22,10,0
152,2024-05-22,10,0
153,2024-05-22,0.2,0
154,2024-05-22,10,0
155,2024-05-22,1,0
156,2024-05-22,10,0
157,2024-05-22,10,0
158,2024-05-22,10,0
159,2024-05-22,1,0
160,2024-05-22,1,0
161,2024-05-22,10,0
162,2024-05-22,10,0
163,2024-05-22,10,0
164,2024-05-22,10,0
165,2024-05-22,10,0
166,2024-05-22,10,0
167,2024-05-22,10,0
168,2024-05-22,10,0
169,2024-05-22,10,0
170,2024-05-22,10,0
171,2024-05-22,10,0
172,2024-05-22,10,0
173,2024-05-22,10,0
174,2024-05-22,10,0
175,2024-05-22,10,0
176,2024-05-22,10,0
177,2024-05-22,10,0
178,2024-05-22,10,0
179,2024-05-22,10,0
180,2024-05-22,10,0
181,2024-05-22,1,0
182,2024-05-22,1,0
183,2024-05-22,1,0
184,2024-05-22,1,0
185,2024-05-22,1,0
186,2024-05-22,1,0
187,2024-05-22,1,0
188,2024-05-22,1,0
189,2024-05-22,1,0
190,2024-05-22,1,0
191,2024-05-22,10,0
192,2024-05-22,1,0
193,2024-05-22,1,0
194,2024-05-22,1,0
195,2024-05-22,1,0
196,2024-05-22,1,0
197,2024-05-22,1,0
198,2024-05-22,1,0
199,2024-05-22,1,0
200,2024-05-22,1,0
201,2024-05-22,10,0
202,2024-05-22,10,0
203,2024-05-22,10,0
204,2024-05-22,1,0
205,2024-05-22,1,0
206,2024-05-22,10,0
207,2024-05-22,10,0
208,2024-05-22,10,0
209,2024-05-22,10,0
210,2024-05-22,10,0
211,2024-05-22,10,0
212,2024-05-22,10,0
213,2024-05-22,2,0
214,2024-05-22,5,0
215,2024-05-22,5,0
216,2024-05-22,5,0
217,2024-05-22,5,0
218,2024-05-22,5,0
219,2024-05-22,10,0
220,2024-05-22,0.2,0
221,2024-05-22,10,0
222,2024-05-22,10,0
223,2024-05-22,10,0
224,2024-05-22,10,0
225,2024-05-22,10,0
226,2024-05-22,10,0
227,2024-05-22,0.2,0
228,2024-05-22,0.2,0
229,2024-05-22,0.2,0
230,2024-05-22,0.2,0
231,2024-05-22,0.2,0
232,2024-05-22,0.2,0
233,2024-05-22,0.2,0
234,2024-05-22,0.2,0
235,2024-05-22,0.2,0
236,2024-05-22,0.2,0
237,2024-05-22,0.2,0
238,2024-05-22,0.2,0
239,2024-05-22,0.2,0
240,2024-05-22,0.2,0
241,2024-05-22,0.2,0
242,2024-05-22,2,0
243,2024-05-22,10,0
244,2024-05-22,5,0
