id,date,r,error
1,2024-05-22,20,0
2,2024-05-22,2,0
3,2024-05-22,5,0
4,2024-05-22,2,0
5,2024-05-22,2,0
6,2024-05-22,2,0
7,2024-05-22,2,0
8,2024-05-22,2,0
9,2024-05-22,2,0
10,2024-05-22,2,0
11,2024-05-22,2,0
12,2024-05-22,2,0
13,2024-05-22,2,0
14,2024-05-22,0,0
15,2024-05-22,20,0
16,2024-05-22,20,0
17,2024-05-22,10,0
18,2024-05-22,30,0
19,2024-05-22,10,0
20,2024-05-22,20,0
21,2024-05-22,30,0
22,2024-05-22,2,0
23,2024-05-22,0,0
24,2024-05-22,0,0
25,2024-05-22,0,0
26,2024-05-22,0,0
27,2024-05-22,6,0
28,2024-05-22,10,0
29,2024-05-22,10,0
30,2024-05-22,4,0
31,2024-05-22,7,0
32,2024-05-22,5,0
33,2024-05-22,10,0
34,2024-05-22,10,0
35,2024-05-22,10,0
36,2024-05-22,10,0
37,2024-05-22,200,0
38,2024-05-22,6,0
39,2024-05-22,10,0
40,2024-05-22,10,0
41,2024-05-22,200,0
42,2024-05-22,10,0
43,2024-05-22,10,0
44,2024-05-22,1,0
45,2024-05-22,5,0
46,2024-05-22,10,0
47,2024-05-22,10,0
48,2024-05-22,10,0
49,2024-05-22,10,0
50,2024-05-22,10,0
51,2024-05-22,10,0
52,2024-05-22,10,0
53,2024-05-22,10,0
54,2024-05-22,10,0
55,2024-05-22,20,0
56,2024-05-22,10,0
57,2024-05-22,10,0
58,2024-05-22,6,0
59,2024-05-22,10,0
60,2024-05-22,10,0
